# world_area_name_map.tsv - auto-generated by extract_worldareas_dat.py
# schema: 7 / 1780178352
# source: Data/Balance/WorldAreas.datc64 in Folders/data/B9/balance.datc64
# generated: 2026-06-08T12:47:09Z
# maps: internal WorldArea Id (e.g. "MapHiddenGrotto") -> in-game name (e.g. "Hidden Grotto")
# atlas maps are the rows whose Id starts with "Map".
# columns: internal_id	display_name
Abyss_Boss1	Lightless Void
Abyss_Boss2	Dark Domain
Abyss_Depths1	Abyssal Depths
Abyss_Depths2	Abyssal Depths
Abyss_Depths3	Abyssal Depths
Abyss_Hub	The Well of Souls
Abyss_Intro	Lightless Passage
Abyss_Pinnacle	The Well of Souls
BlackTest	All Black
BossRush_Area1	Boss Rush Area 1
BossRush_Area2	Boss Rush Area 2
BossRush_Area3	Boss Rush Area 3
BreachDomain_01	Twisted Domain
CharacterSelect	Character Select
ChayulaLeague	Monastery of the Keepers
ChayulaLeague_Tower	Hive Fortress
ChayulaLeague_TowerBoss	Hive Colony
CurrentTown	Current Town
Delirium_Act1Town	Simulacrum of Delusion
Delirium_Act1Town_Quest	Simulacrum of Delusion
Delirium_Act2Reveal	Garukhan's Tomb
Delirium_Act3Town	Sunken Pyramid
Delirium_HungerBoss	Loathsome Mire
Delirium_VastiriOutskirts	[DNT-UNUSED] Vastiri Outpost
Design	Gone Fishing
Design_Lite	Design (Lite)
DruidTrailer	Druid Trailer
EndgameDoodad_BeastGroundZero	The Chained Beast
EndgameDoodad_MeteorCrater	The Fallen Star
ExpeditionLeagueBoss	Kalguuran Tomb
ExpeditionLogBook_Atoll	Barren Atoll
ExpeditionLogBook_Basin	Stagnant Basin
ExpeditionLogBook_Digsite	Exhumed Ruins
ExpeditionLogBook_Gully	Sloughed Gully
ExpeditionLogBook_Heath	Moor of Fallen Skies
ExpeditionLogBook_Peninsula	Craggy Peninsula
ExpeditionLogBook_Prairie	Grazed Prairie
ExpeditionLogBook_Reef	Bleached Shoals
ExpeditionLogBook_Tropical	Lush Isle
ExpeditionLogBook_Tundra	Frigid Bluffs
ExpeditionLogBook_Wastes	Scorched Cay
ExpeditionSubArea_BlackKnightBoss	Tomb of the Fallen Knight
ExpeditionSubArea_Catacomb	Derelict Catacombs
ExpeditionSubArea_Cavern	Smuggler's Den
ExpeditionSubArea_Fissure	Stale Crevice
ExpeditionSubArea_Kalguur	Runic Catacombs
ExpeditionSubArea_Kalguur_Act1	Lost Catacombs
ExpeditionSubArea_Kalguur_Act2	Skull of the Titan
ExpeditionSubArea_Kalguur_Act3	Mystic Refuge
ExpeditionSubArea_Kalguur_Act4	Deserted Post
ExpeditionSubArea_Laboratory	Decayed Laboratory
ExpeditionSubArea_Lair	Rancid Nest
ExpeditionSubArea_MedvedBoss	Sprawling Jungle
ExpeditionSubArea_OlrothBoss	Obscure Island
ExpeditionSubArea_Pond	Famed Pond
ExpeditionSubArea_Precursor	Ancient Cache
ExpeditionSubArea_Sanctuary	Tranquil Chamber
ExpeditionSubArea_Siren	Hidden Aquifer
ExpeditionSubArea_UhtredBoss	Secluded Temple
ExpeditionSubArea_Vein	Gilded Deposit
ExpeditionSubArea_Volcano	Sulphur Mines
ExpeditionSubArea_VoranaBoss	Mournful Cliffside
G1_1	The Riverbank
G1_10	Root Hollow
G1_11	Hunting Grounds
G1_12	Freythorn
G1_13_1	Ogham Farmlands
G1_13_2	Ogham Village
G1_14	The Manor Ramparts
G1_15	Ogham Manor
G1_2	Clearfell
G1_3	Mud Burrow
G1_4	The Grelwood
G1_5	The Red Vale
G1_6	The Grim Tangle
G1_7	Cemetery of the Eternals
G1_8	Mausoleum of the Praetor
G1_9	Tomb of the Consort
G1_WorldMap	Act 1
G1_town	Clearfell Encampment
G2_1	Vastiri Outskirts
G2_10_1	Mawdun Quarry
G2_10_2	Mawdun Mine
G2_11	The Dreadnought's Wake
G2_12	Dreadnought
G2_13	Trial of the Sekhemas
G2_2	Traitor's Passage
G2_3	The Halani Gates
G2_3a	The Halani Gates
G2_3s	The Halani Gates
G2_4_1	Keth
G2_4_2	The Lost City
G2_4_3	Buried Shrines
G2_5_1	Mastodon Badlands
G2_5_2	The Bone Pits
G2_6	Valley of the Titans
G2_7	The Titan Grotto
G2_8	Deshar
G2_8a	Deshar
G2_9_1	Path of Mourning
G2_9_2	The Spires of Deshar
